俗名,拉丁学名,中文学名,目,bio_introduction
衫羊,Parupeneus chrysonemus,金线副绯鲤,鲈形目,鉴别:  胸鳍鳍条几乎总是 16.(36 中的 4 标本具有 15 在一个侧边上与 17 在另一个上)  鳃耙 7-8+25-28(总 32-35).  体高 3.3-4.05 分之一标准体长; 头长 (HL)2.7-3.05 分之一标准体长; 眼相当大的， 眼窝直径 4.4- 5.3 HL比率 (118-196 mm SL); 吻的长度 1.65-2.1个 HL比率;(吻随着成长逐渐增长) 触须长的 1.1-1.3个 HL比率; 背棘长的 HL比率; 持续背鳍鳍条到处长度相等; 胸鳍长度 1.35-1.5個 HL比率; 腹鰭 1.2-1.4 HL比率。  白色 ， 鱗片邊緣狹窄深色， 具有一個來自吻部前面的紅色或者褐色條紋沿著背面鄰近背鰭基底鰭，條紋裡面的鱗片有深褐色的邊緣， 而且大多有一個深褐色的斑點; 經過眼與擴大的來自吻部前面的一條紅色或深褐色的斑紋當它跟隨側線; 斑紋部份地在第二背鰭鰭的後面基底之下中斷， 然後末端形成一條寬的些微斜的橫帶在尾梗上; 一垂直地成直線狀以前鰓蓋骨的後緣延長暗紅色或深褐色的斑紋裡面的斑點在後眼; 觸鬚從鮮紅色到黃色或混合的紅色與黃色改變; 第一背鰭紅色的薄膜; 第二背鰭鰭紅色基部地，外部的一半有狹窄的被紅黑色線分開的不規則的白黃色而藍灰色條紋; 在所有鰭上的臀鰭有相似的條紋; 尾鰭主要黃色， 基部地通常有白色小斑點; 腹鰭相當紅色。 沒有上面的條紋與側面的斑紋，標本從深水域完全紅色; 在眼後面的一個暗紅色斑點; 鰭色彩當在較淺的水域魚中除尾鰭更紅色的.
大条真秋姑,Parupeneus barberinus,条斑副绯鲤,鲈形目,鉴别:  胸鳍鳍条 16-18.(通常 17)  鳃耙 6-7+20-25.(总数 26-31)  身体中等细长且纵深的 3.3-3.7 分之一标准体长; 头长 (HL)2.6-3.0 分之一标准体长; 吻的长度 1.45-2.1个 HL比率;(吻相对较长的随着成长) 触须长度 1.4-1.6个 HL比率; 长的背棘 1.15-1.75个 HL比率;(较长的，成长) 倒数第二的背部软鳍条大约等于最后的鳍条当幼鱼时， 1.2 在大的成鱼中的最后鳍条中; 胸鳍 1.5-1.75 HL比率; 腹鳍 1.35-1.6 HL比率。  身體微白色的具有來自上嘴唇的一條深褐色的到黑色的斑紋 (紅色的在魚上在深水中) 在上尾部的梗上在第二背鰭鰭的較後面的部分之下或前面地經過眼睛到; 在斑紋上面的身體黃色或黃灰色的; 身體在微白色的之下， 鱗片邊緣狹窄灰色到紅褐色的; 黑色或紅色的斑點在尾鰭的基部中央的大於眼; 一些在深色的斑紋之下大的成魚有鱗片中央藍灰色， 邊緣黃色或者有黃色斑點， 尤其在後部; 腹膜深褐色的.
须哥,Parupeneus cyclostomus,圆口副绯鲤,鲈形目,鉴别:  胸鳍鳍条 16.(很少地 15 或 17)  鳃耙 6-7+22-26.(总数 29-33)  体高 3.25-3.8 分之一标准体长;(身体更深地随着成长) 头长 (HL)2.85-3.1 分之一标准体长; 吻长的， 它的长度 1.61.8个 HL比率; 眼小的， 眼窝直径 5.3-8.95个 HL比率;(SL 118-392 mm) 触须非常长的， 长度超过头部的 1.15个 HL比率; 长的背棘 1.5-1.7个 HL比率; 倒数第二的背鳍鳍条最后背鳍鳍条的 1.1-1.2个长; 胸鳍长度 1.5-1.7個 HL比率; 腹鰭長度 1.35-1.55個 HL比率。  大的成魚的顏色黃灰色的， 鱗片的邊緣淡藍色除了腹地之外， 邊緣更寬廣藍色在後部地; 大的﹐半球形的﹐和像鞍狀斑一樣， 黃斑包含的尾柄的大部分上半部; 區域眼的周圍黃色的有放射短的狹窄藍色的條紋; 尾鰭有縱向的藍色條紋; 第二背鰭與臀鰭有狹窄的斜藍色的條紋; 第二個較小的色相完全黃色， 背部肉梗的斑點有時明顯的藉由超過身體的其餘部分是鮮黃色的.
红鲈羊,Parupeneus rubescens,玫瑰副绯鲤,鲈形目,色彩可变的; 具有或者没有黑色的鞍状斑在尾梗上.
白三间,Parupeneus spilurus,点纹副绯鲤,鲈形目,头部与身体有明显的斑纹。  尾梗有黑色的斑点在前面中上侧面有黄色的区域之上.
红印,Parupeneus porphyreus,白带副绯鲤,鲈形目,鉴别:  胸鳍鳍条 15.(很少地 14 或 16)  鳃耙 6-7+24-27.(总数 30-34)  体高 2.85-3.25 分之一标准体长; 头长 (HL)2.85-3.1 分之一标准体长; 吻的长度 1.85-2.2个 HL比率; 触须短， 1.65-1.95个 HL比率; 长的背棘 1.55-1.85个 HL比率; 持续背鳍鳍条略长于倒数第二的鳍条; 每尾叶凸状的后缘; 胸鳍长度 1.3-1.5个 HL比率; 腹鳍长度 1.2-1.4个 HL比率。  身体红色到红褐色的背面， 淡红色腹地， 具有一個白色的像鞍狀斑一樣的斑點在尾梗上前面地而且在後部地被一個暗色斑點側面， 後面那個深色的; 經過眼的來自吻部前面的一條紅褐色的條紋而且沿著身體到在側線上面， 在第二背鰭鰭之下褪色而且擴大， 在眼後面的深色條紋與前面地在被與一條白色的條紋接壤的身體上; 鰭主要紅色; 觸鬚白色.
红狐,Bodianus pulchellus,美普提鱼,鲈形目,身体在下侧上红色的有白色的斑纹。  在前面背棘的基底的黑色斑点。  非常特殊而色彩鲜艳的种。  .
紫狐,Bodianus rufus,淡红普提鱼,鲈形目,背鳍蓝色的头部，身体的上面前端与前面如果从浅水区， 红色的如果从深地; 身体的其余部分与尾部黄色。  背鳍、臀鳍 ， 与腹鳍大部份蓝色或红色的-在后面的黄色.
金点红狐,Bodianus diana,鳍斑普提鱼,鲈形目,吻端尖的。  后嘴角在眼窝的前缘下面或紧邻后方。
红头黑间狐,Cheilinus fasciatus,横带唇鱼,鲈形目,小的稚鱼时常被误认为  Wetmorella sp. 由于细的垂直白色条纹。  大的个体发育鲜红色区域而且雄鱼有扩大的尾鳍叶。
飞狐,Bodianus anthioides,似花普提鱼,鲈形目,历经相当较小的随着成长改变颜色。  容易地鉴别特徵为罕见的颜色与长的尾部了。
金背狐,Bodianus bimaculatus,双斑普提鱼,鲈形目,小的稚鱼是鲜黄色的，而且当红色的线发育的时候，雌性变得更橘色的。  雄性主要是粉红色有红色的线.
朱古力,Bodianus axillaris,腋斑普提鱼,鲈形目,稚鱼与雌性容易地辨识特徵为通常黑色的身体有大的白色斑点了; 在背鳍与臀鳍的软棘的部位上雄鱼有大的黑色斑点。   稚鱼  B. mesothorax 与稚鱼相似但是有白色而不是黄斑。  随着成长历经一个戏剧性的彩色改变。
黄隆头,Bodianus bilunulatus,双带普提鱼,鲈形目,幼鱼容易地鉴别特徵为罕见的颜色了。  成鱼通常有一个在尾部附近的椭圆形的黑色鞍状斑，但是它可能变成不明显在大的雄性中。
白狐,Siganus magnificus,大篮子鱼,鲈形目,眼睛的条纹深褐色到黑色的; 一个宽的白色弧从峡部与第二个的基底的胸延续的 - 第 4个背棘; 在白色的条纹，身体褐色或灰色后面背面， 腹面略白的。  棘矮胖的， 不是很尖锐而有毒。  前鳃盖骨角 120个 °; 强的部分重叠的鳞片在眼窝的中心之下深地覆盖颊， 8 或 9 列; 胸的中线完全覆盖着鳞片。  前鼻孔的打开长在上非常短的管是比较高的在后部地。
红蜻蜓,Apogon pseudomaculatus,拟斑天竺鲷,鲈形目,"

The twospot cardinalfish (Apogon pseudomaculatus) is a species of fish in the family Apogonidae. It is found in the western Atlantic Ocean from southern Georgia to Sao Paulo, Brazil. A lionfish caught off Onslow Bay, North Carolina  had a twospot cardinalfish in its gut contents and records from as far north as New England are most likely to be vagrants. It is also found in the eastern Atlantic from the islands of São Tomé and Príncipe in the Gulf of Guinea and Ascension Island.[1] It is common on hard or semi-hard substrates of the continental shelf such as in harbours, around pilings and over sea walls and offshore to the outer reefs. It is a mouthbrooder.[2] It is active at night and feeds on plankton.[1]



This Kurtiformes-related article is a stub. You can help Wikipedia by expanding it."
泗水玫瑰,Pterapogon kauderni,考氏鳍天竺鲷,鲈形目,容易地用它的流苏第一背鳍辨认出， 细长的肛门与第二背鳍鳍条， 深深地叉型尾与显着的彩色斑纹。
斑尾钝（虾虎）,Amblygobius phalaena,尾斑钝鰕虎,鲈形目,"

Amblygobius phalaena, the Sleeper Banded goby, white-barred goby, is a species of goby native to tropical reefs of the western Pacific Ocean and through the central Indo-Pacific area at depths of from 2 to 20 metres (6.6 to 65.6 ft).  This species feeds by taking in mouthfuls of sand and sifting out algae, invertebrates and other organic matter.  It can reach a length of 15 centimetres (5.9 in) TL.  It is also of minor importance to local commercial fisheries and can also be found in the aquarium trade.[1]

 Media related to Amblygobius phalaena at Wikimedia Commons



This Gobiidae-related article is a stub. You can help Wikipedia by expanding it."
黑次郎,Stonogobiops pentafasciata,五带连膜鰕虎,鲈形目,unk
蓝点鸳鸯,Opistognathus rosenblatti,罗氏后颌鰧,鲈形目,"

The blue-spotted jawfish (Opistognathus rosenblatti) is a species of jawfish native to the Gulf of California.  It is an inhabitant of reefs where it is found in large colonies at depths of around 12 metres (39 ft).  This species hides in its burrow at night, completely sealing the entrance.  Every morning, it rebuilds the burrow entrance.  It can reach a length of 10 centimetres (3.9 in) TL.  It can also be found in the aquarium trade.[2]

The blue-spotted jawfish was first discovered in the Tropical Eastern Pacific by Gerald Allen and David R. Robertson in 1991.[2] They belong to the class of Actinopterygii.

The blue-spotted jawfish have an electric-blue spotting over a yellow or orange body with an elegant yellow dorsal fin. They have large eyes that make them look as ""alien"".[3]  The males have stark white in their anterior halves. The females and the non-courting males are dark brown and have larger blue spots. The younger jawfish are uniformly colored yellow with blue spots.

Jawfish are named for their large mouths, which allow them to catch food. Their large mouths also allow them to dig their burrows by taking big mouthfuls of sand and spitting them out in order to create their hideaways.[4]  Some jawfish consume worms, crustaceans, and invertebrates, but the blue-spotted jawfish feeds on tiny animals: benthic and planktonic invertebrates. They are colonial species and can be found in quite large colonies.[5]

The blue-spotted jawfish are very social amongst other members of its own species. They are not aggressive except to those who try to enter their burrows. They are found in cold water at deeper depth of the ocean in sandy rubbles and reef areas. They live in colonies of up to several hundred fish, with a minimal spacing of 1 to 3 m (3.3 to 9.8 ft) between individuals. They cover their burrow entrance at dusk and rebuild the opening every morning. Unlike the Opistognathus aurifrons, the blue-spotted jawfish only spend time out and above their burrows during the warm summer season.[2]

There are two diseases that can affect the blue-spotted jawfish. First of all, the Brooklynellosis and blue-spotted jawfish disease.[6] When the blue-spotted jawfish are affected by the Brooklynella, it is likely that they will deteriorate and die within approximately 24 hours. The symptoms of Brooklynellosis include: peeling skin and color loss all over the body, or no appetite. They may leave their burrow and list around until they eventually die.

Edit: Brookynella is easily treated in a quarantine tank using malachite green in combination with formalin.

The so-called ""Blue spot jawfish disease"" is almost always damage to the fish caused by; rough handling, coarse or abrasive substrate, being kept on bare glass, or, from being kept at above 21c.

Jawfish are mouth brooders, they utilize their mouth to hold the eggs until they reach the hatching point. They incubate the eggs in their mouths for about 5 to 7 days.  In addition, males display behaviorally and color-wise in the summer months by becoming bright white, dashing 3 to 4 feet (0.91 to 1.22 m) above their burrow, trying to attract the females. If the male is successful attracting the female, then the female join his tube for a few minutes after returning in hers.[2]

The specific name honours Richard H. Rosenblatt (1930-2014), an ichthyologist at the Scripps Institution of Oceanography, who made many contributions to the study of the fishes of the eastern Pacific.[7]
"
红面古b,Elacatinus puncticulatus,红脑霓虹鰕虎,鲈形目,"

Elacatinus puncticulatus is a species of goby from the eastern central Pacific Ocean, where it is found on reefs from the Gulf of California to Ecuador.  This species occurs at depths ranging from 1 to 21m, and usually in association with the sea urchin Eucidaris thouarsii. The size of the goby varies depending on sex, with females being typically smaller than males, and their geographical location as well as their role as a cleaner goby also has impacts on their morphology.[2] Due to their bright coloration and lack of aggression, the species is commonly found in the aquarium trade.[3][4]

Elacatinus puncticulatus is a member of the family Gobiidae, which is broken up into two genera: Elacatinus and Gobiosoma. Elacatinus is a genus of goby fish comprising 25 species with characteristic 7 spines, 28 vertebrae, compressed skull shape, and transparent fins. E. puncticulatus are the only species in the genus that display a lack of scales on the head and body.[4] The E. puncticulatus species in particular is characterized by the strong red and blue coloration on its head, with yellow and black striped coloration on its body, and a dark horizontal stripe behind its eye.[5] The blue stripe near the head of many Elacatinus species is often seen as an adaptation that allows the fish to effectively attract clients that they clean as a part of their role as a symbiotic cleaner species.[2] The species is sometimes broken up into two clades, with subclades within those, based on interspecific variations seen in both their coloration and genetics. Those variations are believed to have been a result of oceanographic processes and habitat discontinuities that separated different E. puncticulatus groups over time. Depending on their location, different members of the species display different colors on their head, body, and eye stripes, which can range from red to more of a yellow-orange.[6]

Their general size differs depending on sex, with males reaching around 30-40mm in length while females only reach around 22-27mm and this size difference between the sexes increases as general latitude increases.[4] Besides just geographic location, their role as a cleaner goby also has an impact on their morphology. Elacatinus as a genus typically displays a terminal mouth position that corresponds to their roles as cleaner fish, but E. puncticulatus specifically display a heterodont dentition as well, meaning they have more than one type of tooth morphology. This differentiates them from other cleaner species in their genus, but is characteristic of their role as an occasional, or facultative, cleaner (as compared to dedicated, or obligate, cleaners).[2]

E. puncticulatus are a shallow-living goby found along the continental shore of the Tropical Eastern Pacific (TEP), which ranges from the Southern tip of the California peninsula to the South of Ecuador. Specifically within this area, the species live primarily between the subtidal zone and depths of 21m on rocky or coral reefs.[4][5][6] Their habitat on coral reefs, considered “cleaning stations”, which combined with the bright blue coloration on parts of their head allows the species to attract clients and feed off of the removed ectoparasites.[2] They are the only species of the genus Elacatinus not found in the Atlantic, and only one of two species in the genus found in the TEP.  Their distribution is shaped by habitat discontinuities that restrict their dispersal in the area, one of the most notable examples being two muddy sections of shore within the TEP.[6]

Elacatinus puncticulatus display active courtship before spawning and parental behaviors after spawning. Males of E. puncticulatus show a gray head and yellow and black body coloration instead of their usual red and blue head coloration. One day prior to spawning, males move their pectoral fins to promote burrow cleanliness and display heavy breathing to signify readiness. Females of E. puncticulatus display strong red and black colors, but become pale three days before spawning. The male knows the female is ready to spawn because her urogenital region turns from brown to red the day prior to spawning.[5] The genus Elacatinus are primarily gonochoristic, do not change sex, and often maintain stable monogamous relationships throughout their life.[7]

E. puncticulatus produce benthic eggs that give rise to pelagic larvae.[6] Male E. puncticulatus clean the dead eggs after hatching, but sometimes they will clean the eggs before hatching, which leads to a loss of up to 50% of the eggs.[5] E. puncticulatus produce around 150 eggs per spawn, but only about 100 will actually hatch and produce pelagic larvae. The eggs range in size from 0.4 to 0.7mm. A heartbeat can be detected at 120 hours post fertilization (5 days) when they grow most rapidly and have the highest mortality. Spontaneous hatching takes about an hour and a half to complete and occurs 168 hours after fertilization (7 days). The incubation and embryonic development stages of E. puncticulatus are similar to those of Elacatinus figaro.[5] There is a lot unknown about E. puncticulatus larval stage including distribution and time spent in the pelagic larval stage, but similar Elacatinus species have a range of 21–38 days.[6]

Elacatinus puncticulatus are found in corals in the continental shelf of the TEP. They often live in association with sea urchins, although the reason for this is undetermined.[6] The Elacatinus genus feeds primarily on ectoparasites from cleaning and cellular fish debris, and E. puncticulatus seem to be no different.[5] Both males and females clean. Cleaning gobies can display cheating behavior when cleaning with a partner, where they consume scales and mucus from the clients instead of just ectoparasites, although this is uncommon in the Elacatinus genus. When cleaning with the opposite sex, males tend to modify behavior to be more cooperative and females tend to stay the same.[7] Clients of this cleaning mutualism are either non-predatory fish like parrotfishes,[8] or piscivorous fish that are potential predators for the goby, like longfin damselfish,[9] yellowtail damselfish,[10] and graysby grouper.[11] While some clients are predatory to E. puncticulatus and other cleaner gobies, the predatory clients are often immediately cleaned upon arrival, which could help their identification as a cleaner and reduce the risk of predation.[9] The immediate cleaning of those predator clients may reduce the risk of predation, but it does not provide any foraging advantage since predator clients and non-predator clients offer the same amount of ectoparasites, and predatory clients often decrease the visits made by the more abundant non-predatory clients.[9][8]

The 25 species of Elacatinus are considered ""neon gobies"" due to their brightly colored appearance and the variety of coloration they display. Along with their attractive appearance, their ability to become domesticated rather easily as well as their relatively calm disposition make them more appealing to those involved in the aquarium trade of marine fish and coral. As a result of this, many of the species, including the bright red and blue E. puncticulatus are kept for ornamental purposes in many different regions.[5]

Elacatinus puncticulatus is commonly found in the aquarium trade industry, because new technologies have made it easier to manage captive marine species.[5] The United States Fish and Wildlife Service CITES program requires certain species to be named specifically when trading, but E. puncticulatus is not on the list.[12] E. puncticulatus is referred to as marine tropical fish in reports. It can be difficult for the National Oceanic and Atmospheric Administration to regulate their trade and study their endangerment status.[12]
"
黑雪怪,Cryptocentrus fasciatus,条纹丝鰕虎,鲈形目,大部份黑色的有细的灰白斑点或白色的鞍状斑头顶上与背面; 有时黄色的.
横口古b,Plagiotremus rhinorhynchos,粗吻短带鳚,鲈形目,成鱼可变的颜色， 范围从黑色到黄色; 在身体上的 2条蓝色的斑纹.
黑白蓝点古b,Eviota bimaculata,双斑矶塘鳢,鲈形目,附注:  胸鳍大的， 菱形; 尾鳍圆的。
白尾蓝仙,Holacanthus limbaughi,林博氏刺蝶鱼,鲈形目,"

The Clipperton angelfish (Holacanthus limbaughi) is a species of marine ray-finned fish, a marine angelfish belonging to the family Pomacanthidae. It is endemic to Clipperton Island, a French possession in the eastern Pacific Ocean.

The Clipperton angelfish has a deep, laterally compressed body. It has a small mouth that has bristle-like teeth. The preoperculum has a sizeable spine at its corner and a serrated rear margin while there are 4 spines between the preoperculum and the operculum.[3] The juveniles are a dark bluish-grey on their bodies, which is marked with a number of vertical blue bars, 2 on the head and 5 on the flanks, these fade as they mature into adults.[4] They also have a white spot on the upper side and white caudal and pectoral fins. The adults are similar, lacking the barring, and have vivid blue margins to the dorsal, anal and pelvic fins. The dorsal fin contains 14 spines and 17-18 soft rays while the anal fin has 3 spines and 17-18 soft rays.[3] This species attains a maximum total length of 30 centimetres (12 in).[5]

The Clipperton angelfish is endemic to the waters of the French overseas territory of Clipperton Island, which is 2,560 kilometres (1,590 mi) west of Costa Rica, in the Eastern Pacific Ocean.[5]

The Clipperton angelfish is found at depths between 6 and 100 metres (20 and 328 ft). Very little is known about its habitat preferences and biology.[1]

The Clipperton angelfish was first formally described in 1963 by the American ichthyologist Wayne J. Baldwin.[6] The specific name honours the American scuba diver, zoologist and underwater photographer Conrad Limbaugh (1925–1960) who played a vital role in the collection of the type.[7]

The Clipperton angelfish has such a remote and restricted distribution that it is extremely scarce in the aquarium trade. When it has appeared in that trade it has commanded very high prices.[1] In 2009, a California tropical fish dealer was caught trying to bring 52 illegally collected Clipperton angelfish into the United States, falsely declaring them as king angelfish to federal wildlife authorities.[8] He intended to sell the fish for $10,000 each.[9]
"
毛里求斯蓝仙,Centropyge debelius,吸口刺尻鱼,鲈形目,unk
金蝴蝶,Chaetodontoplus septentrionalis,蓝带荷包鱼,鲈形目,"

Holacanthus septentrionalis Temminck & Schlegel, 1844

Chaetodontoplus septentrionalis, the blue-striped angelfish and bluelined angelfish, is a species of marine ray-finned fish, a marine angelfish belonging to the family Pomacanthidae.[2] it is found in the Western Pacific Ocean.

Chaetodontoplus septentrionalis has a background body colour of yellow to tan overlain with vivid longitudinal blue stripes and a yellow caudal fin. In the females the blue stripes run the length of the body. In the males the lines on the body are duller and they have blue lines on the face. 
[4] The juveniles have a black background colour and there are yellow markings on their fins and a yellow bar to the rear of the head.[5]

Chaetodontoplus septentrionalis occurs in the western Pacific Ocean from southern Japan and South Korea and Taiwan and southern China.[1]

Chaetodontoplus septentrionalis is commonest on rocky reefs which have large boulders and stones, as well as rubble slopes. It is found at depths of 2 to 30 metres (6.6 to 98.4 ft). Small juveniles are frequently commoner at depths over 15 metres (49 ft) down to 30 metres (98 ft) they are found on rocky, patch reefs and frequently stay close to a crevice where they can shelter if required.[5] It feeds on sponges and tunicates.[3] Like all other angelfish it is a protogynous hermaphrodite, with all individuals being female initially and the dominant ones changing to males.[6]

Chaetodontoplus septentrionalis was first formally described in 1844 by Coenraad Jacob Temminck and Hermann Schlegel with the type locality given as Nagasaki.[7] The specific name means northern, thought to be a reference to its more northerly distribution than apparently related species.[8]

Chaetondontoplus septentrionalis is infrequently traded in the aquarium trade but when it does appear it often thrives in captivity.[1]
"
面具仙,Genicanthus personatus,夏威夷月蝶鱼,鲈形目,性别展现不同的颜色。  雄性浅蓝灰色的白色有头部的前部， 从吻部在眼正后方， 黄色的橘色; 前半部的尾鳍黑色; 背鳍与臀鳍末梢部地白色的有一条宽的橘色条纹; 胸鳍与腹鳍橘色的。  母鱼浅蓝灰色的白色有头部的前部， 从吻部在眼黑色或灰色正后方; 前半部的尾鳍也黑色的; 腹鳍的远端部份橘色的。
熊猫仙,Chaetodontoplus ballinae,巴林荷包鱼,鲈形目,底色珠色地灰色的有很清晰延伸超过延伸向下的到胸鳍基底的整个的背面与下面一半的背鳍，它的前端的深色条纹 (大部份黑色)。  眼鲜黄色又其余的鳍浅蓝灰色的。
君子仙,Centropyge boylei,博氏刺尻鱼,鲈形目,"

The peppermint angelfish (Centropyge boylei) is a relatively small species of marine ray-finned fish, a marine angelfish belonging to the family Pomacanthidae. It is found in the Central area of the South Pacific Ocean, and is known to be native to the Cook Islands.

The peppermint angelfish has a deep, oval shaped body which has five white vertical bands on a reddish-orange background. The dorsal and anal fins have white margins and the caudal fin is translucent. The face and chin are white.[2][3] This species attains a maximum total length of 7 centimetres (2.8 in).[4]

The peppermint angelfish is found in the eastern central Pacific Ocean. It has only been recorded from Rarotonga in the Cook Islands, although it is considered likely that it will be recorded elsewhere in the region.[1]

The peppermint angelfish is found at depths of 55 to 120 metres (180 to 394 ft) on areas of coral rubble, overhangs and caves situated in the steep outer slopes of reefs.[1] It is little known but its diet is thought to be made up of worms, crustaceans, sponges, tunicates, and detritus.[3] It has been recorded in pairs or small groups.[1]

The peppermint angelfish was first formally described in 1992 by John Ernest Randall (1924–2020) and Richard Pyle.[5] It is placed in the subgenus Paracentropyge by some authorities. Its specific name honours the collector of the type, Charles “Chip” J. Boyle.[6]

The peppermint angelfish is occasionally exported as an aquarium specimen and can fetch high prices (a single specimen was offered to be bought for $30,000).[7]
"
老虎仙,Apolemichthys kingi,金氏阿波鱼,鲈形目,"

8, see text

Apolemichthys is a genus of marine angelfishes in the family Pomacanthidae.[2]

Fishbase still has Apolemichthys armitagei listed as a species within this genus but notes that it is a hybrid between Apolemichthys trimaculatus and Apolemichthys xanthurus. Fishbase state that the page will be removed as part of their next update.[3]
"
复活岛仙,Centropyge hotumatua,霍通刺尻鱼,鲈形目,unk
加纳蝶,Chaetodon robustus,强壮蝴蝶鱼,鲈形目,"

The three-banded butterflyfish (Chaetodon robustus) is a species of fish in the family Chaetodontidae.[2]

It inhabits the eastern-central Atlantic Ocean, in warm tropical waters from Mauritania down to Cape Verde and the Gulf of Guinea. It is present in coral reefs, from 30 to 70 meters deep. Its maximum length is 14.5 cm.[3]



This Chaetodontidae article is a stub. You can help Wikipedia by expanding it."
四眼蝶,Chaetodon capistratus,四斑蝴蝶鱼,鲈形目,大的黑色斑点在背鳍后面之下在身体上被一个白色的环包围了。  狭窄的，深色的， 交会在侧面中央的对角线， 形成数列朝向前面的锯齿形.  头部的上面轮廓陡峭与些微凹由于凸出吻; 淡灰色的， 颜色变化成灰白的淡黄色的在侧边上; 在头部上的一条黑色的横带; 腹鳍黄色.
三纹蝶,Chaetodon tricinctus,波带蝴蝶鱼,鲈形目,"

The Three-striped butterflyfish (Chaetodon tricinctus) is a species of marine ray-finned fish, a butterflyfish belonging to the family Chaetodontidae. It is native to eastern Australia, Lord Howe Island and Norfolk Island in the Tasman Sea. It is found a depths of 3 to 15 metres (9.8 to 49.2 ft) on coral-rich lagoons and outer reefs. This species reaches a maximum length of 15 centimetres (5.9 in) TL.[2]
"
史密夫蝶,Chaetodon smithi,史氏蝴蝶鱼,鲈形目,"

Smith's butterflyfish (Chaetodon smithi) is a species of marine ray-finned fish, a butterflyfish belonging to the family Chaetodontidae. This species is endemic to the south western Pacific Ocean.

Smith's butterflyfish has the anterior half of the body and associated fins are dark brown while the posterior half and fins are yellow. The posterior soft rayed part of the dorsal fin and the anal fin have blue margins.[2] It attains a maximum total length of 18 centimetres (7.1 in).[3] The separation of the two colour blocs on the body is irregular and the spines of the dorsal fin are also yellow over the brown anterior part of the body.[4] It attains a maximum total length of 19 centimetres (7.5 in).[3]

Smith's butterflyfish is endemic to the south western Pacific Ocean where it has only been recorded from the British Overseas Territory of Pitcairn Island and Rapa Iti and Marotiri, the Ilots de Basse, in French Polynesia.[3] There has been a single confirmed record from Easter Island.[4]

Smith's butterflyfish occur on rocky reefs with dense growth of algae and at least a little coral. It is often encountered in large aggregations in the middle of the water column where they feed on zooplankton.[1] This oviparous species forms pairs for breeding.[3]

This species was described in 1975 by the American ichthyologist John Ernest Randall (1924-2020) with the type locality given as off Young's Rock, Pitcairn Island.[5] The type specimens were collected by the ichthyologist C. Lavett Smith, Jr. (1927-2015) of the American Museum of Natural History and whom Randall honoured with its specific name.[6]

This species does appear in the aquarium trade[2] but is extremely rare in that trade.[1] It is on display at the Waikiki Aquarium.[4]
"
暗带蝶,Chaetodon nippon,日本蝴蝶鱼,鲈形目,"

Chaetodon nippon, also known as the Japanese butterflyfish, is a species of butterflyfish found in the northwest Pacific Ocean in the shallow seas around Japan, South Korea, the Philippines and Taiwan.

The Japanese butterflyfish is a deep-bodied, vertically flattened fish up to 15 cm (6 in) long. The dorsal fin has 12 or 13 spines and 18 to 20 soft rays while the anal fin has 3 spines and 15 or 16 soft rays. The body is creamy-brown, rimmed with dark brown. The juvenile fish has an eyespot in the region of its soft dorsal fin, but this fades as it grows.[4][3]

The Japanese butterflyfish is native to the northwestern Pacific Ocean, where it occurs in the waters of Japan, South Korea, the Philippines, and Taiwan. It is particularly common around the Izu Islands.[1] With a preference for rocky coastal reef habitats, it has been recorded at depths of between 5 and 20 metres (16 and 66 ft), although it is probable that it also inhabits deeper water.[1]

The Japanese butterflyfish is a benthic fish with an omnivorous diet,[5] which includes polychaete worms, crabs and other small invertebrates. It often moves around in large or small groups.[1]

Although many butterflyfish form aggregations when spawning, the Japanese butterflyfish have been observed spawning in pairs.[6] This is one of the few species of butterflyfish whose larval development has been studied. On hatching, the larvae float upside down near the surface, but at 72 hours start swimming and feed on such zooplankton as oyster larvae. By the time they are ready to settle, the butterflyfish larvae are attracted to lights at night, and at this time, their colouring transforms into that of juvenile fish with great rapidity.[7]

This fish has a fairly wide distribution and is a common species, particularly in the Izu Islands. It seldom appears in the aquarium trade and its population seems stable, so the International Union for Conservation of Nature has assessed its conservation status as being of ""least concern"".[1]
"
